入賞 にゅうしょう
零す こぼす
監視 かんし
漕ぐ こぐ
大幅 おおはば
今更 いまさら
体裁 ていさい
異議 いぎ
形成 けいせい
先天的 せんてんてき
凶作 きょうさく
証言 しょうげん
群 ぐん
或る ある
人情 にんじょう
爆破 ばくは
南 なん
果て はて
乳 ちち
汚らわしい けがらわしい
財政 ざいせい
捧げる ささげる
恋する こいする
枠 わく
怪獣 かいじゅう
激励 げきれい
その内 そのうち
調停 ちょうてい
華美 かび
滅びる ほろびる
導入 どうにゅう
次いで ついで
姉妹 きょうだい
振り ふり
掬う すくう
目付き めつき
旧事 くじ
延いては ひいては
売れ行き うれゆき
方式 ほうしき
海路 うみじ
判 はん
係り かかり
その為 そのため
火傷 かしょう
短気 たんき
興業 こうぎょう
惜しむ おしむ
動き うごき
模範 もはん
趣 おもむき
先行 せんこう
動機 どうき
模型 もけい
政策 せいさく
本能 ほんのう
規制 きせい
名称 めいしょう
防火 ぼうか
威力 いりょく
現地 げんち
拒否 きょひ
幹線 かんせん
好い よい
辞職 じしょく
特派 とくは
達成 たっせい
暴風 ぼうふう
拝借 はいしゃく
免れる まぬかれる
意欲 いよく
製 せい
三 み
楽観 らっかん
痛感 つうかん
若しくは もしくは
一部分 いちぶぶん
夜更け よふけ
事によると ことによると
詰まり つまり
据え付ける すえつける
先先月 せんせんげつ
展示 てんじ
不吉 ふきつ
沸騰 ふっとう
事項 じこう
抜け出す ぬけだす
先に さきに
夥しい おびただしい
折り返す おりかえす
仰っしゃる おっしゃる
潜水 せんすい
等 とう
地主 じぬし
辻褄 つじつま
私有 しゆう
資格 しかく
何だか なんだか
添える そえる
集計 しゅうけい
増進 ぞうしん
労る いたわる
大衆 たいしゅう
鳥居 とりい
各種 かくしゅ
或いは あるいは
楽譜 がくふ
差し支える さしつかえる
曲 きょく
是非とも ぜひとも
利点 りてん
転転 てんてん
所属 しょぞく
華々しい はなばなしい
忽ち たちまち
取り締まる とりしまる
緩める ゆるめる
反発 はんぱつ
取り扱う とりあつかう
皇居 こうきょ
間々 まま
設ける もうける
担う になう
公立 こうりつ
国土 こくど
多様 たよう
痛切 つうせつ
樹立 じゅりつ
我がまま わがまま
雛 ひな
孤児 こじ
会談 かいだん
争い あらそい
内乱 ないらん
関税 かんぜい
所で ところで
其れで それで
遣り通す やりとおす
商 しょう
待ち合わせ まちあわせ
ずぶ濡れ ずぶぬれ
迚も とても
優越 ゆうえつ
梯子 ていし
跨ぐ またぐ
賢明 けんめい
見落とす みおとす
浮かぶ うかぶ
発言 はつげん
下調べ したしらべ
目覚める めざめる
成熟 せいじゅく
浜 はま
途絶える とだえる
厭々 いやいや
幹部 かんぶ
気風 きふう
液 えき
盗み ぬすみ
お蔭様で おかげさまで
経費 けいひ
志望 しぼう
切開 せっかい
滲む にじむ
不景気 ふけいき
児 こ
恐れ おそれ
非行 ひこう
感度 かんど
着手 ちゃくしゅ
大金 たいきん
銃 つつ
故人 こじん
真心 まこころ
差し掛かる さしかかる
記名 きめい
微塵 みじん
倍率 ばいりつ
古代 こだい
偶に たまに
止むを得ない やむをえない
高まる たかまる
ご苦労様 ごくろうさま
生死 せいし
夜更かし よふかし
実態 じったい
蒸留 じょうりゅう
言論 げんろん
奴 やっこ
出直し でなおし
同居 どうきょ
其れから それから
酸 さん
粋 いき
何々 どれどれ
遊牧 ゆうぼく
了 りょう
満場 まんじょう
摘む つまむ
衣装 いしょう
解除 かいじょ
保守 ほしゅ
決まり悪い きまりわるい
網 あみ
上手 うわて
街 がい
傾ける かたむける
填める はめる
身近 みぢか
年鑑 ねんかん
老衰 ろうすい
妊娠 にんしん
抗議 こうぎ
お目出度う おめでとう
奨励 しょうれい
認める したためる
ローマ字 ローマじ
再生 さいせい
骨 こつ
押し込む おしこむ
成り立つ なりたつ
象徴 しょうちょう
静止 せいし
作戦 さくせん
木綿 きわた
故 こ
躊躇う ためらう
連邦 れんぽう
軍 いくさ
弱まる よわまる
殺人 さつじん
辺り ほとり
予感 よかん
論理 ろんり
密か ひそか
企画 きかく
短縮 たんしゅく
大部 たいぶ
刑 けい
引き下げる ひきさげる
生育 せいいく
選考 せんこう
違える ちがえる
葬る ほうむる
共稼ぎ ともかせぎ
身体 からだ
必然 ひつぜん
面目 めんぼく
囀る さえずる
賠償 ばいしょう
議題 ぎだい
区間 くかん
改良 かいりょう
申し出る もうしでる
獣 けだもの
偏見 へんけん
装飾 そうしょく
押し寄せる おしよせる
盲点 もうてん
心細い こころぼそい
お大事に おだいじに
最早 もはや
藁 わら
陶器 とうき
動的 どうてき
間柄 あいだがら
近視 きんし
花粉 かふん
藍褸 ぼろ
親しむ したしむ
参議院 さんぎいん
やり遂げる やりとげる
過多 かた
麻痺 まひ
日当 にっとう
天体 てんたい
役 えき
落ち着き おちつき
同士 どうし
況して まして
登録 とうろく
同封 どうふう
利潤 りじゅん
拝啓 はいけい
確信 かくしん
養う やしなう
実情 じつじょう
甘口 あまくち
治療 ちりょう
丸で まるで
期日 きじつ
燃焼 ねんしょう
行き違い いきちがい
何と なんと
慎む つつしむ
人民 じんみん
手数 てかず
沈殿 ちんでん
巻 まき
教え おしえ
一言 いちげん
弟 おと
此れ これ
報道 ほうどう
馴らす ならす
訴訟 そしょう
仕掛ける しかける
所が ところが
核 かく
手回し てまわし
導く みちびく
階層 かいそう
何なり なんなり
諸 しょ
出動 しゅつどう
励ます はげます
介抱 かいほう
店 てん
鞠 まり
小柄 こがら
歯磨 はみがき
比重 ひじゅう
峰 みね
蓄積 ちくせき
出生 しゅっしょう
気流 きりゅう
征服 せいふく
兎角 とかく
分担 ぶんたん
観衆 かんしゅう
未開 みかい
実業家 じつぎょうか
差異 さい
舞う まう
古 いにしえ
眠たい ねむたい
物体ない もったいない
跡切れる とぎれる
民主 みんしゅ
世論 せろん
大げさ おおげさ
休める やすめる
何の どの
分 ふん
病む やむ
未婚 みこん
俄か にわか
生まれつき うまれつき
道場 どうじょう
切り替える きりかえる
檻 おり
辟易 へきえき
歳 さい
銅 あかがね
傾く かたぶく
受け入れる うけいれる
氾濫 はんらん
星座 せいざ
若しも もしも
素材 そざい
詳細 しょうさい
居住 きょじゅう
印 いん
胴 どう
総会 そうかい
改訂 かいてい
お祖母さん おばあさん
強行 きょうこう
露 つゆ
振動 しんどう
停滞 ていたい
破棄 はき
裁く さばく
努めて つとめて
新築 しんちく
捻子 ねじ
調べ しらべ
排除 はいじょ
抓る つねる
統制 とうせい
享受 きょうじゅ
訂正 ていせい
演じる えんじる
海運 かいうん
対応 たいおう
教科 きょうか
目盛 めもり
色彩 しきさい
書き取り かきとり
適宜 てきぎ
済ます すます
乃至 ないし
気質 かたぎ
幹 かん
その上 そのうえ
書評 しょひょう
かも知れない かもしれない
可愛がる かわいがる
回送 かいそう
漏らす もらす
お手上げ おてあげ
是正 ぜせい
真ん丸い まんまるい
何卒 どうぞ
上司 じょうし
物体 ぶったい
然しながら しかしながら
段々 だんだん
鈍感 どんかん
依然 いぜん
売り出し うりだし
手芸 しゅげい
呉れ呉れも くれぐれも
終始 しゅうし
追い出す おいだす
象 しょう
妬む ねたむ
掻き回す かきまわす
女子 おなご
制服 せいふく
単一 たんいつ
入浴 にゅうよく
誤魔化す ごまかす
現行 げんこう
屋敷 やしき
新入生 しんにゅうせい
大柄 おおがら
否決 ひけつ
修学 しゅうがく
紡績 ぼうせき
愚か おろか
左程 さほど
海抜 かいばつ
漏る もる
降水 こうすい
暗示 あんじ
若干 じゃっかん
短大 たんだい
衆議院 しゅうぎいん
指摘 してき
庁 ちょう
眩しい まぶしい
自己 じこ
流 りゅう
剃る する
死刑 しけい
否 いいえ
地獄 じごく
運命 うんめい
費やす ついやす
提供 ていきょう
粉々 こなごな
惨め みじめ
同盟 どうめい
軍服 ぐんぷく
着色 ちゃくしょく
厳か おごそか
仕立てる したてる
区 く
茎 くき
獲得 かくとく
粘る ねばる
器官 きかん
物資 ぶっし
陰気 いんき
片言 かたこと
中腹 ちゅうっぱら
原 げん
無言 むごん
両立 りょうりつ
様相 ようそう
篭る こもる
面白い おもしろい
荷造り にづくり
誰 たれ
取り寄せる とりよせる
促す うながす
継ぎ目 つぎめ
辞退 じたい
風習 ふうしゅう
呼び止める よびとめる
逃亡 とうぼう
貫禄 かんろく
塵取り ちりとり
膨脹 ぼうちょう
件 くだん
溜まり たまり
優 やさ
揺さぶる ゆさぶる
略奪 りゃくだつ
取り分 とりわけ
いい加減 いいかげん
丁目 ちょうめ
踵 かかと
一概に いちがいに
噛み切る かみきる
共産 きょうさん
脚本 きゃくほん
緩む ゆるむ
弁解 べんかい
絨毯 じゅうたん
憧れ あこがれ
霞む かすむ
酷い ひどい
取り替え とりかえ
逃走 とうそう
慣用 かんよう
税務署 ぜいむしょ
黄色 おうしょく
癌 がん
驚き おどろき
焦げ茶 こげちゃ
吃逆 しゃっくり
沿う そう
好調 こうちょう
風俗 ふうぞく
誇る ほこる
意気込む いきごむ
加留多 かるた
貴い たっとい
繁殖 はんしょく
製鉄 せいてつ
守衛 しゅえい
恐れ入る おそれいる
取り戻す とりもどす
罵る ののしる
始め はじめ
鍛える きたえる
走行 そうこう
仕付ける しつける
組み込む くみこむ
和 わ
鉄棒 かなぼう
追放 ついほう
用紙 ようし
弁護 べんご
譲歩 じょうほ
造り つくり
依って よって
切ない せつない
転換 てんかん
運営 うんえい
売り出す うりだす
投入 とうにゅう
勇敢 ゆうかん
中立 ちゅうりつ
交わす かわす
態と わざと
送金 そうきん
共和 きょうわ
要望 ようぼう
小売 こうり
共存 きょうそん
錯覚 さっかく
